Symbol,Company Name,Txn Type,Txn Date/Time, Gross Leverage, Net Leverage,# Shares,Price,Txn Value,Portfolio # Shares,Portfolio Value,Commission,Slippage(10BPS),Comments
GOOG,GOOG,Buy,2009-09-01 16:00:00,0.972455313358,0.972455313358,3.0,455.76,1367.28,10.0,7520.22,5.0,1.34,
AAPL,AAPL,Buy,2009-10-01 16:00:00,0.93635304061,0.93635304061,9.0,180.09,1620.81,27.0,7785.63,5.0,1.78,
GOOG,GOOG,Sell,2009-10-01 16:00:00,0.93635304061,0.93635304061,-4.0,487.2,-1948.8,6.0,7785.63,5.0,1.78,
AAPL,AAPL,Buy,2009-11-02 16:00:00,0.973391958266,0.973391958266,10.0,188.5,1885.0,37.0,8576.47,5.0,1.74,
GOOG,GOOG,Sell,2009-11-02 16:00:00,0.973391958266,0.973391958266,-3.0,533.99,-1601.97,3.0,8576.47,5.0,1.74,
AAPL,AAPL,Sell,2009-12-01 16:00:00,0.954767996824,0.954767996824,-4.0,196.13,-784.52,33.0,8831.77,5.0,0.69,
GOOG,GOOG,Buy,2009-12-01 16:00:00,0.954767996824,0.954767996824,1.0,589.87,589.87,4.0,8831.77,5.0,0.69,
AAPL,AAPL,Sell,2010-01-04 16:00:00,0.970757953805,0.970757953805,-23.0,213.1,-4901.3,10.0,9652.0,5.0,4.96,
GOOG,GOOG,Buy,2010-01-04 16:00:00,0.970757953805,0.970757953805,8.0,626.75,5014.0,12.0,9652.0,5.0,4.96,
AAPL,AAPL,Buy,2010-02-01 16:00:00,0.950611739417,0.950611739417,2.0,193.9,387.8,12.0,8190.02,5.0,0.46,
GOOG,GOOG,Sell,2010-02-01 16:00:00,0.950611739417,0.950611739417,-1.0,533.02,-533.02,11.0,8190.02,5.0,0.46,
AAPL,AAPL,Buy,2010-03-01 16:00:00,0.984158326896,0.984158326896,9.0,208.1,1872.9,21.0,8631.62,5.0,1.74,
GOOG,GOOG,Sell,2010-03-01 16:00:00,0.984158326896,0.984158326896,-3.0,532.69,-1598.07,8.0,8631.62,5.0,1.74,
AAPL,AAPL,Sell,2010-04-01 16:00:00,0.972496903787,0.972496903787,-3.0,234.96,-704.88,18.0,9348.48,5.0,0.64,
GOOG,GOOG,Buy,2010-04-01 16:00:00,0.972496903787,0.972496903787,1.0,568.8,568.8,9.0,9348.48,5.0,0.64,
AAPL,AAPL,Sell,2010-05-03 16:00:00,0.946529581532,0.946529581532,-1.0,265.21,-265.21,17.0,9283.97,5.0,0.13,
AAPL,AAPL,Buy,2010-06-01 16:00:00,0.956651991382,0.956651991382,6.0,259.71,1558.26,23.0,8867.55,5.0,1.5,
GOOG,GOOG,Sell,2010-06-01 16:00:00,0.956651991382,0.956651991382,-3.0,482.37,-1447.11,6.0,8867.55,5.0,1.5,
AAPL,AAPL,Buy,2010-07-01 16:00:00,0.96146423598,0.96146423598,2.0,247.42,494.84,25.0,8382.95,5.0,0.47,
GOOG,GOOG,Sell,2010-07-01 16:00:00,0.96146423598,0.96146423598,-1.0,439.49,-439.49,5.0,8382.95,5.0,0.47,
AAPL,AAPL,Sell,2010-08-02 16:00:00,0.958357443892,0.958357443892,-4.0,260.73,-1042.92,21.0,8908.2,5.0,1.01,
GOOG,GOOG,Buy,2010-08-02 16:00:00,0.958357443892,0.958357443892,2.0,490.41,980.82,7.0,8908.2,5.0,1.01,
AAPL,AAPL,Buy,2010-09-01 16:00:00,0.961689619115,0.961689619115,2.0,249.26,498.52,23.0,8494.96,5.0,0.48,
GOOG,GOOG,Sell,2010-09-01 16:00:00,0.961689619115,0.961689619115,-1.0,460.33,-460.33,6.0,8494.96,5.0,0.48,
AAPL,AAPL,Sell,2010-10-01 16:00:00,0.945004994193,0.945004994193,-12.0,281.31,-3375.72,11.0,9401.85,5.0,3.26,
GOOG,GOOG,Buy,2010-10-01 16:00:00,0.945004994193,0.945004994193,6.0,525.62,3153.72,12.0,9401.85,5.0,3.26,
AAPL,AAPL,Buy,2010-11-01 16:00:00,0.976113592705,0.976113592705,9.0,302.88,2725.92,20.0,10977.6,5.0,2.59,
GOOG,GOOG,Sell,2010-11-01 16:00:00,0.976113592705,0.976113592705,-4.0,615.0,-2460.0,8.0,10977.6,5.0,2.59,
AAPL,AAPL,Sell,2010-12-01 16:00:00,0.970761271119,0.970761271119,-2.0,315.05,-630.1,18.0,10750.05,5.0,0.6,
GOOG,GOOG,Buy,2010-12-01 16:00:00,0.970761271119,0.970761271119,1.0,564.35,564.35,9.0,10750.05,5.0,0.6,
_CASH,_CASH,Cash Deposit,2010-11-30 16:00:00,,,,,0,,
